10000,10835
10001,43979
10001,43980
10001,43981
10002,38532
10002,64583
10002,7008
10003,59395
10003,59396
10003,59397
10004,62624
10004,62625
10004,62626
10005,64026
10005,64027
10005,26819
10006,64444
10006,64445
10006,64446
10006,64447
10006,64448
10007,61758
10007,61759
10008,3480
10008,61049
10009,7926
10010,64547
10010,64548
10010,64549
10010,2682
10011,64375
10011,64376
10011,64377
10011,64378
10011,64379
10012,50878
10012,50879
10012,50880
10012,33
10012,32
10013,41631
10013,35
10013,41632
10014,63515
10014,63516
10015,63728
10015,63729
10015,63730
10016,61088
10016,61089
10017,58383
10017,58384
10018,64756
10019,58357
10019,11237
10019,58358
10019,58359
10019,58360
10020,33201
10020,47307
10020,36348
10020,47308
10021,56476
10021,56477
10021,56478
10021,56479
10022,56843
10022,40751
10022,56844
10023,64063
10023,58203
10024,64354
10024,64355
10024,27424
10024,27425
10025,64572
10025,64573
10026,64630
10026,64631
10026,64632
10027,88
10027,89
10027,90
10027,91
10028,62127
10028,62128
10029,51864
10029,37208
10029,35993
10029,35995
10030,34885
10031,29537
10031,53341
10031,53340
10032,35386
10032,57324
10033,64762
10033,64763
10033,64764
10034,64721
10034,58528
10034,64722
10034,64723
10035,59638
10035,59639
10035,59640
10035,59641
10035,51347
10036,64287
10036,6365
10036,64288
10037,62487
10038,156
10039,63661
10039,63662
10039,63663
10040,61514
10040,61515
10041,64251
10041,64252
10041,64253
10042,20950
10043,64397
10043,64398
10043,64399
10044,26220
10044,64737
10045,49388
10045,63333
10046,64625
10046,64626
10046,64627
10046,60421
10046,64628
10046,64629
10047,36575
10048,31555
10049,13636
10049,9671
10049,8313
10049,55014
10050,64419
10050,64420
10051,58907
10051,58908
10052,34447
10052,34448
10052,34449
10052,34450
10052,34451
10052,34452
10053,63222
10053,63223
10054,17321
10054,64416
10054,64417
10054,64418
10055,62987
10055,27325
10055,62988
10056,206
10056,207
10057,64382
10058,57860
10058,57861
10058,57862
10059,62048
10059,62049
10060,63809
10060,63810
10061,59450
10061,59451
10061,59452
10062,61119
10063,226
10063,227
10063,228
10063,229
10064,64240
10064,64241
10065,51810
10065,51811
10066,62856
10066,62857
10066,62858
10067,64724
10067,64725
10068,59753
10068,59754
10069,13592
10069,13593
10070,27462
10070,55090
10070,55091
10071,63477
10071,63478
10072,64663
10072,64664
10072,64665
10072,64666
10073,54927
10073,54928
10073,54929
10073,40248
10074,63331
10074,28969
10075,57980
10075,57981
10076,64017
10076,64018
10076,64019
10076,64020
10077,56467
10078,64147
10078,64148
10078,64149
10079,61929
10079,61930
10080,19225
10080,19226
10080,2499
10080,19227
10081,63797
10081,62524
10081,63798
10082,8356
10082,8357
10082,8358
10083,309
